Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,TimeStamp
1.5106351,0.009687614,0.12986033,1.8145766,0.9568926,0.16322151,0.34402174,1.5288289,1.2938603,0.47766596,0.35067242,1.5948561,0.6262927,0.35035098,0.46661112,1.5534039,0.6130506,0.28507397,0.24998957,1.1267302,821.978,853.00366,853.8095,759.12085,807.0696,0.3179931640625,0.19805908203125,0.9310302734375,0.5682373046875,2.10845947265625,3.9178466796875,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:32.443
1.7132447,0.15891124,0.08994797,1.8145766,0.8630514,0.49133143,0.23857035,1.5288289,1.0605141,0.20668991,0.2533517,1.5948561,0.75110126,0.17347254,0.07649378,1.5534039,0.6399554,0.13261333,0.017527042,1.1267302,866.30035,849.7802,853.4066,883.22345,865.4945,0.33782958984375,0.20831298828125,0.925537109375,0.46356201171875,1.92901611328125,4.957122802734375,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:33.443
1.1783853,0.22421327,0.45469928,1.8145766,0.52756006,0.49190342,0.39204952,1.5288289,0.99447465,0.065373525,0.17249759,1.5948561,0.81070614,0.0926042,0.17663763,1.5534039,0.5577483,0.19968534,0.03608813,1.1267302,898.5348,851.79486,843.73627,922.3077,905.38464,0.339599609375,0.2110595703125,0.9202880859375,0.441131591796875,2.88604736328125,4.867401123046875,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:34.454
0.91298646,0.29748562,0.24565032,1.8145766,0.82621276,0.42341962,0.25425434,1.5288289,1.2435707,0.13700008,0.4757793,1.5948561,0.9171265,0.2026284,0.41376013,1.5534039,0.5541295,0.14421163,0.22346061,1.1267302,880.40295,849.7802,837.28937,941.2454,913.44324,0.34466552734375,0.19732666015625,0.926025390625,1.906585693359375,1.368255615234375,3.18511962890625,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:35.468
1.134067,0.19086623,0.21936706,1.8145766,1.1027243,0.45781872,0.20495047,1.5288289,1.1678722,0.029503385,0.47255903,1.5948561,0.7289995,0.16373886,0.37768435,1.5534039,0.5356282,0.13744327,0.2914985,1.1267302,930.3663,849.3773,859.85345,848.97437,788.1319,0.32391357421875,0.11834716796875,0.94757080078125,16.172332763671875,10.220794677734377,2.82623291015625,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:36.469
1.2548685,0.7308339,0.548048,1.8145766,0.8382119,0.20202018,0.262655,1.5288289,0.7289801,0.10542742,0.37415445,1.5948561,0.68806446,0.027784837,0.27864182,1.5534039,0.49165007,0.16006775,0.18735434,1.1267302,25.384615,848.1685,838.49817,5.2380953,1.2087913,0.01300048828125,0.1573486328125,1.06024169921875,27.38006591796875,0.40374755859375,166.68792724609375,1.0,1.0,1.0,1.0,1.0,90.44,0.0,2023-10-31 20:36:37.477
1.2548685,0.8552101,0.83495146,1.8145766,0.8382119,0.23984921,0.5039123,1.5288289,0.7289801,0.5021156,0.36901653,1.5948561,0.68806446,0.50202405,0.26613915,1.5534039,0.49165007,0.4481528,0.30913958,1.1267302,1100.403,853.8095,853.4066,727.28937,639.0476,0.05230712890625,0.03302001953125,1.03277587890625,1.77947998046875,7.215118408203125,15.4022216796875,1.0,1.0,1.0,1.0,4.0,90.42,0.0,2023-10-31 20:36:38.484
1.2548685,0.7136699,0.68911254,1.8145766,0.8382119,0.1663297,0.5705419,1.5288289,0.7289801,0.123911925,0.3034511,1.5948561,0.68806446,0.2716081,0.47268984,1.5534039,0.49165007,0.009881619,0.18370758,1.1267302,929.9634,860.65936,848.1685,1507.3627,759.12085,0.12188720703125,0.12554931640625,0.94696044921875,5.839385986328125,10.4376220703125,5.884246826171875,1.0,2.0,1.0,1.0,4.0,90.42,0.0,2023-10-31 20:36:39.485
1.2548685,1.0178179,1.0216323,1.8145766,0.8382119,0.6139682,0.7007115,1.5288289,0.7289801,0.8049156,0.5153713,1.5948561,0.68806446,0.12005715,0.14707334,1.5534039,0.49165007,0.35249144,0.10327636,1.1267302,1023.8461,863.8828,842.1245,1324.8352,5.2380953,0.11187744140625,0.00140380859375,1.01416015625,4.194488525390625,2.67669677734375,4.433746337890625,1.0,2.0,1.0,1.0,2.0,90.42,0.0,2023-10-31 20:36:40.486
1.2548685,0.8506652,0.77267087,1.8145766,0.8382119,0.5058608,0.41258928,1.5288289,0.7289801,0.81226444,0.54409444,1.5948561,0.68806446,0.31568417,0.5189376,1.5534039,0.49165007,0.06715481,0.3938941,1.1267302,972.674,846.9597,833.663,977.1062,811.0989,0.1898193359375,0.08245849609375,0.9639892578125,1.218719482421875,10.57220458984375,35.589599609375,1.0,2.0,1.0,1.0,2.0,90.42,0.0,2023-10-31 20:36:41.494
